ticker,year,quarter,name,full_name,numeric_revenue,numeric_revenue_annual,unit,currency,percentage_revenue_quarterly,percentage_revenue_annual,qoq_growth,yoy_growth_quarterly,yoy_growth_annual,source
TSM,2024,4,Total,Total,868.46,2894.31,B,TWD,100,100,14.3,38.8,33.9,
TSM,2024,4,3nm,Technology > 3nm,,,,TWD,26.0,18.0,,,,Revenue by Technology
TSM,2024,4,5nm,Technology > 5nm,,,,TWD,34.0,34.0,,,,Revenue by Technology
TSM,2024,4,7nm,Technology > 7nm,,,,TWD,14.0,17.0,,,,Revenue by Technology
TSM,2024,4,16nm,Technology > 16nm,,,,TWD,7.0,8.0,,,,Revenue by Technology
TSM,2024,4,20nm,Technology > 20nm,,,,TWD,0.0,1.0,,,,Revenue by Technology
TSM,2024,4,28nm,Technology > 28nm,,,,TWD,6.0,7.0,,,,Revenue by Technology
TSM,2024,4,40/45nm,Technology > 40/45nm,,,,TWD,3.0,4.0,,,,Revenue by Technology
TSM,2024,4,65nm,Technology > 65nm,,,,TWD,4.0,4.0,,,,Revenue by Technology
TSM,2024,4,90nm,Technology > 90nm,,,,TWD,1.0,1.0,,,,Revenue by Technology
TSM,2024,4,0.11/0.13um,Technology > 0.11/0.13um,,,,TWD,2.0,2.0,,,,Revenue by Technology
TSM,2024,4,0.15/0.18um,Technology > 0.15/0.18um,,,,TWD,3.0,4.0,,,,Revenue by Technology
TSM,2024,4,0.25um and above,Technology > 0.25um and above,,,,TWD,0.0,1.0,,,,Revenue by Technology
TSM,2024,4,High Performance Computing,Platform > High Performance Computing,,,,TWD,53.0,51.0,19.0,,58.0,Revenue by Platform
TSM,2024,4,Smartphone,Platform > Smartphone,,,,TWD,35.0,35.0,17.0,,23.0,Revenue by Platform
TSM,2024,4,Internet of Things,Platform > Internet of Things,,,,TWD,5.0,6.0,-15.0,,2.0,Revenue by Platform
TSM,2024,4,Automotive,Platform > Automotive,,,,TWD,4.0,5.0,6.0,,4.0,Revenue by Platform
TSM,2024,4,Digital Consumer Electronics,Platform > Digital Consumer Electronics,,,,TWD,1.0,2.0,-6.0,,2.0,Revenue by Platform
TSM,2024,4,Others,Platform > Others,,,,TWD,2.0,3.0,2.0,,-14.0,Revenue by Platform
TSM,2024,4,North America,Geography > North America,,,,TWD,75.0,70.0,,,,Revenue by Geography
TSM,2024,4,China,Geography > China,,,,TWD,9.0,11.0,,,,Revenue by Geography
TSM,2024,4,Asia Pacific,Geography > Asia Pacific,,,,TWD,9.0,10.0,,,,Revenue by Geography
TSM,2024,4,Japan,Geography > Japan,,,,TWD,4.0,5.0,,,,Revenue by Geography
TSM,2024,4,EMEA,Geography > EMEA,,,,TWD,3.0,4.0,,,,Revenue by Geography
TSM,2024,3,Total,Total,759.69,,B,NTD,100,100,12.8,39.0,,
TSM,2024,3,3nm,Technology > 3nm,,,,NTD,20.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,5nm,Technology > 5nm,,,,NTD,32.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,7nm,Technology > 7nm,,,,NTD,17.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,16nm,Technology > 16nm,,,,NTD,8.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,20nm,Technology > 20nm,,,,NTD,0.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,28nm,Technology > 28nm,,,,NTD,7.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,40/45nm,Technology > 40/45nm,,,,NTD,4.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,65nm,Technology > 65nm,,,,NTD,4.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,90nm,Technology > 90nm,,,,NTD,1.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,0.11/0.13um,Technology > 0.11/0.13um,,,,NTD,2.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,0.15/0.18um,Technology > 0.15/0.18um,,,,NTD,4.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,0.25um and above,Technology > 0.25um and above,,,,NTD,1.0,,,,,3Q24 Revenue by Technology Pie Chart
TSM,2024,3,High Performance Computing,Platform > High Performance Computing,,,,NTD,51.0,,11.0,,,3Q24 Revenue by Platform Pie Chart
TSM,2024,3,Smartphone,Platform > Smartphone,,,,NTD,34.0,,16.0,,,3Q24 Revenue by Platform Pie Chart
TSM,2024,3,Internet of Things,Platform > Internet of Things,,,,NTD,7.0,,35.0,,,3Q24 Revenue by Platform Pie Chart
TSM,2024,3,Automotive,Platform > Automotive,,,,NTD,5.0,,6.0,,,3Q24 Revenue by Platform Pie Chart
TSM,2024,3,Digital Consumer Electronics,Platform > Digital Consumer Electronics,,,,NTD,1.0,,-19.0,,,3Q24 Revenue by Platform Pie Chart
TSM,2024,3,Others,Platform > Others,,,,NTD,2.0,,8.0,,,3Q24 Revenue by Platform Pie Chart
TSM,2024,3,North America,Geography > North America,,,,NTD,71.0,,,,,3Q24 Revenue by Geography Table
TSM,2024,3,China,Geography > China,,,,NTD,11.0,,,,,3Q24 Revenue by Geography Table
